account_name,rep_name,product_name,Sum of amount,stage_name
Harrell LLC,Karan Malhotra,Analytics Add-on,15800,Prospecting
Rose-Obrien,Aditi Sharma,Training & Enablement,15800,Proposal Sent
"Young, Caldwell and Lewis",Rohan Verma,Implementation Package,15700,Proposal Sent
"Cannon, Anderson and Alvarez",Priya Nair,Training & Enablement,15600,Proposal Sent
"Martinez, Nielsen and Miller",Sneha Kapoor,Core Platform License,15600,Negotiation
Brown Inc,Sneha Kapoor,Training & Enablement,15500,Prospecting
Underwood LLC,Karan Malhotra,Premium Support,15500,Prospecting
Brown Inc,Rohan Verma,Analytics Add-on,15400,Negotiation
Davis Inc,Karan Malhotra,Premium Support,15400,Proposal Sent
Ramirez-Lewis,Aditi Sharma,Training & Enablement,15200,Negotiation
White-Ford,Meera Iyer,Premium Support,15100,Proposal Sent
Johnson-Davis,Rohan Verma,Training & Enablement,15000,Qualification
Medina PLC,Sneha Kapoor,Implementation Package,15000,Prospecting
Clark PLC,Vikram Singh,Analytics Add-on,14900,Qualification
Horton-Cross,Priya Nair,Training & Enablement,14900,Prospecting
"Martinez, Nielsen and Miller",Karan Malhotra,Training & Enablement,14900,Negotiation
Ramos PLC,Arjun Rao,Implementation Package,14900,Negotiation
"Williams, Miller and Sandoval",Aditi Sharma,Premium Support,14900,Negotiation
"Fitzgerald, Brown and Edwards",Meera Iyer,Analytics Add-on,14700,Prospecting
Ibarra-Suarez,Meera Iyer,Implementation Package,14700,Proposal Sent
"Lynch, Hernandez and Farmer",Karan Malhotra,Premium Support,14700,Proposal Sent
Powell PLC,Rohan Verma,Training & Enablement,14700,Prospecting
Underwood LLC,Meera Iyer,Training & Enablement,14700,Proposal Sent
"Garcia, Powell and Morgan",Priya Nair,Premium Support,14600,Qualification
Shaw-Farrell,Rohan Verma,Training & Enablement,14600,Prospecting
"Lynch, Hernandez and Farmer",Priya Nair,Training & Enablement,14500,Proposal Sent
Medina PLC,Rohan Verma,Core Platform License,14500,Negotiation
"Potter, Mack and Peterson",Vikram Singh,Training & Enablement,14500,Prospecting
Ramos PLC,Arjun Rao,Premium Support,14500,Qualification
"Williams, Miller and Sandoval",Karan Malhotra,Training & Enablement,14500,Proposal Sent
Burgess-Patterson,Sneha Kapoor,Analytics Add-on,14400,Prospecting
Campos Inc,Priya Nair,Premium Support,14400,Proposal Sent
Conner Group,Karan Malhotra,Premium Support,14400,Proposal Sent
"Zuniga, Wong and Lynch",Sneha Kapoor,Training & Enablement,14400,Qualification
Brown Inc,Aditi Sharma,Core Platform License,14300,Qualification
Koch-Decker,Arjun Rao,Implementation Package,14200,Negotiation
"Martinez, Nielsen and Miller",Vikram Singh,Implementation Package,14200,Qualification
Davis Group,Meera Iyer,Core Platform License,14000,Proposal Sent
Owens-Daniel,Aditi Sharma,Training & Enablement,14000,Negotiation
Delacruz Group,Priya Nair,Training & Enablement,13900,Qualification
Koch-Decker,Vikram Singh,Training & Enablement,13900,Negotiation
Stanley LLC,Arjun Rao,Implementation Package,13900,Prospecting
"Cannon, Anderson and Alvarez",Karan Malhotra,Implementation Package,13800,Negotiation
Ibarra-Suarez,Vikram Singh,Analytics Add-on,13800,Prospecting
"Montgomery, Hensley and Ray",Aditi Sharma,Core Platform License,13800,Negotiation
"Valencia, Smith and Le",Vikram Singh,Analytics Add-on,13800,Negotiation
Medina PLC,Priya Nair,Analytics Add-on,13700,Proposal Sent
"Riggs, Roman and Rice",Sneha Kapoor,Implementation Package,13700,Proposal Sent
Delacruz Group,Sneha Kapoor,Premium Support,13600,Proposal Sent
Medina PLC,Karan Malhotra,Core Platform License,13600,Qualification
Ramirez-Lewis,Meera Iyer,Premium Support,13600,Qualification
Allen PLC,Aditi Sharma,Training & Enablement,13500,Negotiation
"Brown, Jones and Johnson",Priya Nair,Premium Support,13500,Qualification
Lee PLC,Aditi Sharma,Premium Support,13500,Qualification
Powell PLC,Vikram Singh,Implementation Package,13500,Prospecting
"Riggs, Roman and Rice",Aditi Sharma,Training & Enablement,13500,Qualification
Rose-Obrien,Vikram Singh,Training & Enablement,13500,Prospecting
Chapman Inc,Meera Iyer,Analytics Add-on,13400,Qualification
"Garcia, Powell and Morgan",Aditi Sharma,Training & Enablement,13400,Proposal Sent
"Lynch, Hernandez and Farmer",Priya Nair,Implementation Package,13400,Prospecting
Ramos PLC,Priya Nair,Premium Support,13300,Prospecting
Clark PLC,Vikram Singh,Premium Support,13200,Qualification
"Martinez, Nielsen and Miller",Meera Iyer,Training & Enablement,13200,Negotiation
Rhodes PLC,Vikram Singh,Premium Support,13200,Negotiation
Brown Inc,Arjun Rao,Implementation Package,13100,Negotiation
Shaw-Farrell,Meera Iyer,Training & Enablement,13100,Prospecting
Baker and Sons,Vikram Singh,Core Platform License,13000,Proposal Sent
Burgess-Patterson,Aditi Sharma,Premium Support,13000,Proposal Sent
Rhodes PLC,Meera Iyer,Core Platform License,13000,Negotiation
Medina PLC,Priya Nair,Core Platform License,12900,Proposal Sent
"Potter, Mack and Peterson",Vikram Singh,Premium Support,12900,Negotiation
"Rodriguez, Figueroa and Sanchez",Karan Malhotra,Premium Support,12900,Proposal Sent
Stanley LLC,Priya Nair,Training & Enablement,12900,Negotiation
Allen PLC,Rohan Verma,Core Platform License,12800,Negotiation
Underwood LLC,Arjun Rao,Implementation Package,12800,Negotiation
"Brown, Jones and Johnson",Meera Iyer,Training & Enablement,12700,Prospecting
"Campos, Vaughn and Marquez",Arjun Rao,Premium Support,12700,Negotiation
James-Ferrell,Meera Iyer,Premium Support,12700,Qualification
Baker and Sons,Rohan Verma,Analytics Add-on,12600,Proposal Sent
Bryant-Hickman,Priya Nair,Analytics Add-on,12600,Proposal Sent
"Valencia, Smith and Le",Meera Iyer,Training & Enablement,12500,Prospecting
"Fitzgerald, Brown and Edwards",Priya Nair,Training & Enablement,12400,Prospecting
Munoz-Roman,Arjun Rao,Core Platform License,12400,Prospecting
Bryant-Hickman,Sneha Kapoor,Analytics Add-on,12300,Proposal Sent
Conner Group,Priya Nair,Analytics Add-on,12300,Qualification
Delacruz Group,Aditi Sharma,Analytics Add-on,12300,Negotiation
Horton-Cross,Aditi Sharma,Implementation Package,12300,Prospecting
"Johnson, Gonzalez and Santos",Arjun Rao,Analytics Add-on,12300,Proposal Sent
"Sanchez, Ford and Nelson",Arjun Rao,Implementation Package,12300,Negotiation
Brown Inc,Arjun Rao,Premium Support,12200,Proposal Sent
Davis Inc,Priya Nair,Premium Support,12200,Qualification
Delacruz Group,Karan Malhotra,Analytics Add-on,12200,Proposal Sent
Ibarra-Suarez,Sneha Kapoor,Premium Support,12200,Proposal Sent
"Johnson, Gonzalez and Santos",Sneha Kapoor,Implementation Package,12200,Qualification
Cole LLC,Aditi Sharma,Analytics Add-on,12100,Qualification
"Zuniga, Wong and Lynch",Arjun Rao,Training & Enablement,12100,Negotiation
Allen PLC,Rohan Verma,Core Platform License,12000,Qualification
Lee PLC,Meera Iyer,Training & Enablement,12000,Proposal Sent
James-Ferrell,Aditi Sharma,Analytics Add-on,11900,Negotiation
Ramos PLC,Aditi Sharma,Premium Support,11900,Proposal Sent
Burgess-Patterson,Vikram Singh,Training & Enablement,11500,Negotiation
Davis Group,Aditi Sharma,Training & Enablement,11500,Prospecting
Davis Inc,Priya Nair,Analytics Add-on,11500,Negotiation
"Lynch, Hernandez and Farmer",Karan Malhotra,Training & Enablement,11500,Proposal Sent
"Higgins, Moore and Phillips",Rohan Verma,Training & Enablement,11400,Prospecting
Delacruz Group,Meera Iyer,Training & Enablement,11300,Qualification
Kim PLC,Meera Iyer,Premium Support,11200,Qualification
"Cannon, Anderson and Alvarez",Rohan Verma,Analytics Add-on,11100,Qualification
Robinson-Bright,Sneha Kapoor,Training & Enablement,11000,Prospecting
"Riggs, Roman and Rice",Karan Malhotra,Training & Enablement,10900,Prospecting
"Sanchez, Ford and Nelson",Priya Nair,Analytics Add-on,10900,Prospecting
"Zuniga, Wong and Lynch",Sneha Kapoor,Premium Support,10900,Proposal Sent
Brown Inc,Arjun Rao,Training & Enablement,10800,Proposal Sent
Donovan-Harris,Vikram Singh,Training & Enablement,10800,Negotiation
Ellis PLC,Meera Iyer,Premium Support,10800,Proposal Sent
"Higgins, Moore and Phillips",Aditi Sharma,Premium Support,10800,Proposal Sent
"Montgomery, Hensley and Ray",Priya Nair,Analytics Add-on,10800,Prospecting
"Campos, Vaughn and Marquez",Sneha Kapoor,Premium Support,10700,Prospecting
Davis Inc,Aditi Sharma,Premium Support,10600,Qualification
White-Ford,Karan Malhotra,Premium Support,10600,Proposal Sent
"Sellers, George and Burns",Meera Iyer,Premium Support,10500,Prospecting
Chavez Ltd,Karan Malhotra,Premium Support,10400,Prospecting
Stanton-Gill,Aditi Sharma,Training & Enablement,10400,Qualification
White-Ford,Meera Iyer,Premium Support,10400,Negotiation
"Montgomery, Hensley and Ray",Meera Iyer,Training & Enablement,10300,Proposal Sent
Campos Inc,Meera Iyer,Training & Enablement,10100,Qualification
Ellis PLC,Vikram Singh,Analytics Add-on,10000,Prospecting
Powell PLC,Karan Malhotra,Analytics Add-on,10000,Qualification
Barrera-Martin,Priya Nair,Premium Support,9900,Prospecting
"Cannon, Anderson and Alvarez",Meera Iyer,Analytics Add-on,9900,Qualification
Ibarra-Suarez,Karan Malhotra,Training & Enablement,9800,Prospecting
Bryant-Hickman,Sneha Kapoor,Training & Enablement,9700,Negotiation
"Cannon, Anderson and Alvarez",Priya Nair,Training & Enablement,9700,Qualification
Cole LLC,Arjun Rao,Training & Enablement,9700,Qualification
Davis Group,Vikram Singh,Premium Support,9700,Proposal Sent
Powell PLC,Sneha Kapoor,Training & Enablement,9700,Proposal Sent
"Williams, Miller and Sandoval",Sneha Kapoor,Premium Support,9700,Prospecting
Koch-Decker,Priya Nair,Training & Enablement,9600,Proposal Sent
Munoz-Roman,Sneha Kapoor,Training & Enablement,9600,Proposal Sent
Owens-Daniel,Aditi Sharma,Premium Support,9600,Negotiation
"Williams, Miller and Sandoval",Arjun Rao,Analytics Add-on,9600,Negotiation
Brown Inc,Sneha Kapoor,Training & Enablement,9500,Proposal Sent
Munoz-Roman,Rohan Verma,Premium Support,9300,Negotiation
Stanton-Gill,Karan Malhotra,Analytics Add-on,9300,Negotiation
Brown Inc,Aditi Sharma,Training & Enablement,9200,Proposal Sent
Owens-Daniel,Vikram Singh,Analytics Add-on,9200,Negotiation
Rhodes PLC,Arjun Rao,Training & Enablement,9200,Prospecting
Underwood LLC,Aditi Sharma,Training & Enablement,9200,Negotiation
"Fitzgerald, Brown and Edwards",Karan Malhotra,Training & Enablement,9100,Proposal Sent
"Kidd, Huff and Novak",Rohan Verma,Training & Enablement,9100,Prospecting
Powell PLC,Aditi Sharma,Premium Support,9100,Negotiation
"Martinez, Nielsen and Miller",Vikram Singh,Analytics Add-on,9000,Prospecting
Baker-Bowers,Vikram Singh,Training & Enablement,8900,Qualification
Davis Group,Arjun Rao,Training & Enablement,8900,Prospecting
"Flowers, Martin and Kelly",Meera Iyer,Premium Support,8900,Qualification
"Sellers, George and Burns",Aditi Sharma,Training & Enablement,8900,Qualification
Baker and Sons,Priya Nair,Training & Enablement,8800,Negotiation
Donovan-Harris,Sneha Kapoor,Training & Enablement,8800,Qualification
Barrera-Martin,Priya Nair,Premium Support,8600,Proposal Sent
Ramirez-Lewis,Sneha Kapoor,Premium Support,8600,Prospecting
Delacruz Group,Arjun Rao,Training & Enablement,8500,Qualification
Baker-Bowers,Arjun Rao,Training & Enablement,8300,Qualification
Johnson-Davis,Arjun Rao,Analytics Add-on,8300,Proposal Sent
"Hawkins, Cohen and Cameron",Karan Malhotra,Training & Enablement,8200,Qualification
"Miller, Lopez and Larson",Rohan Verma,Training & Enablement,8200,Proposal Sent
Munoz-Roman,Priya Nair,Training & Enablement,8100,Negotiation
Rhodes PLC,Priya Nair,Training & Enablement,8100,Negotiation
Blake and Sons,Karan Malhotra,Training & Enablement,8000,Negotiation
"Martinez, Nielsen and Miller",Karan Malhotra,Analytics Add-on,7900,Negotiation
"Valencia, Smith and Le",Vikram Singh,Premium Support,7900,Proposal Sent
"Zuniga, Wong and Lynch",Arjun Rao,Training & Enablement,7900,Prospecting
Brown Inc,Aditi Sharma,Analytics Add-on,7800,Proposal Sent
"Montgomery, Hensley and Ray",Rohan Verma,Analytics Add-on,7800,Qualification
"Montgomery, Hensley and Ray",Sneha Kapoor,Training & Enablement,7800,Proposal Sent
Powell PLC,Aditi Sharma,Training & Enablement,7800,Qualification
Harrell LLC,Rohan Verma,Analytics Add-on,7700,Prospecting
Robinson-Bright,Sneha Kapoor,Training & Enablement,7700,Negotiation
Stanton-Gill,Arjun Rao,Premium Support,7700,Negotiation
Powell PLC,Meera Iyer,Training & Enablement,7500,Prospecting
"Williams, Miller and Sandoval",Aditi Sharma,Premium Support,7500,Qualification
Baker and Sons,Rohan Verma,Training & Enablement,7400,Qualification
"Young, Caldwell and Lewis",Priya Nair,Analytics Add-on,7400,Negotiation
Blake and Sons,Sneha Kapoor,Premium Support,7300,Proposal Sent
Ramos PLC,Rohan Verma,Premium Support,7300,Prospecting
"Hawkins, Cohen and Cameron",Arjun Rao,Premium Support,7200,Proposal Sent
Martin Group,Arjun Rao,Training & Enablement,7200,Negotiation
Rose-Obrien,Karan Malhotra,Training & Enablement,7200,Proposal Sent
Conner Group,Vikram Singh,Training & Enablement,7100,Qualification
Underwood LLC,Aditi Sharma,Analytics Add-on,7100,Qualification
"Zuniga, Wong and Lynch",Priya Nair,Training & Enablement,7000,Prospecting
Martin Group,Meera Iyer,Analytics Add-on,6900,Negotiation
Martin Group,Rohan Verma,Premium Support,6900,Negotiation
Rhodes PLC,Priya Nair,Premium Support,6900,Prospecting
Baker and Sons,Vikram Singh,Premium Support,6800,Prospecting
Johnson-Davis,Meera Iyer,Training & Enablement,6800,Prospecting
Delacruz Group,Sneha Kapoor,Premium Support,6700,Qualification
Rhodes PLC,Sneha Kapoor,Analytics Add-on,6700,Prospecting
"Campos, Vaughn and Marquez",Karan Malhotra,Analytics Add-on,6600,Qualification
"Higgins, Moore and Phillips",Priya Nair,Premium Support,6600,Negotiation
Owens-Daniel,Aditi Sharma,Training & Enablement,6600,Prospecting
Ramos PLC,Vikram Singh,Analytics Add-on,6600,Prospecting
"Riggs, Roman and Rice",Rohan Verma,Premium Support,6600,Negotiation
Allen PLC,Aditi Sharma,Analytics Add-on,6500,Proposal Sent
Ramirez-Lewis,Karan Malhotra,Training & Enablement,6500,Proposal Sent
Harrell LLC,Karan Malhotra,Training & Enablement,6200,Negotiation
"Young, Caldwell and Lewis",Sneha Kapoor,Training & Enablement,6200,Prospecting
Chavez Ltd,Arjun Rao,Premium Support,6100,Negotiation
Martin Group,Sneha Kapoor,Premium Support,6100,Proposal Sent
Underwood LLC,Meera Iyer,Training & Enablement,6100,Prospecting
Ibarra-Suarez,Rohan Verma,Premium Support,6000,Proposal Sent
Blake and Sons,Aditi Sharma,Premium Support,5800,Proposal Sent
Burgess-Patterson,Arjun Rao,Training & Enablement,5800,Prospecting
Delacruz Group,Sneha Kapoor,Premium Support,5700,Prospecting
"Higgins, Moore and Phillips",Rohan Verma,Premium Support,5700,Prospecting
Cole LLC,Arjun Rao,Premium Support,5600,Proposal Sent
Cole LLC,Meera Iyer,Training & Enablement,5600,Proposal Sent
"Miller, Lopez and Larson",Rohan Verma,Premium Support,5500,Negotiation
Lee PLC,Sneha Kapoor,Training & Enablement,5400,Qualification
"Williams, Miller and Sandoval",Sneha Kapoor,Training & Enablement,5400,Qualification
"Valencia, Smith and Le",Sneha Kapoor,Training & Enablement,5300,Prospecting
Lewis-Porter,Meera Iyer,Premium Support,5200,Negotiation
"Ellis, Baker and Wright",Sneha Kapoor,Premium Support,5100,Qualification
Johnson-Davis,Meera Iyer,Training & Enablement,5100,Qualification
"Cannon, Anderson and Alvarez",Karan Malhotra,Training & Enablement,4900,Prospecting
Baker and Sons,Aditi Sharma,Premium Support,4800,Prospecting
Harrell LLC,Aditi Sharma,Premium Support,4800,Negotiation
Powell PLC,Meera Iyer,Training & Enablement,4800,Negotiation
Chapman Inc,Karan Malhotra,Training & Enablement,4600,Negotiation
Baker and Sons,Sneha Kapoor,Premium Support,4500,Negotiation
"Miller, Lopez and Larson",Vikram Singh,Training & Enablement,4500,Negotiation
"Sellers, George and Burns",Vikram Singh,Training & Enablement,4500,Negotiation
"Sanchez, Ford and Nelson",Sneha Kapoor,Premium Support,4400,Qualification
Lee PLC,Meera Iyer,Training & Enablement,4300,Qualification
"Johnson, Gonzalez and Santos",Rohan Verma,Premium Support,4200,Negotiation
Shaw-Farrell,Meera Iyer,Premium Support,4200,Qualification
"Johnson, Gonzalez and Santos",Aditi Sharma,Training & Enablement,4000,Qualification
